TRXN_ID,ACCT_ID,TRXN_DT,TRXN_AMT,MRCH_NM
3786572,1350450902,2020-01-01,2859.79,Amazon Prime*2T9666U50
3786640,1457501888,2020-01-01,3275.16,AUTOZONE #0531
3786686,1559376558,2020-01-01,837.43,EILEAN DONAN
3786737,1570265509,2020-01-01,4591.67,FLO DUNKIN DONUTS
3786741,1570678977,2020-01-01,725.62,FOREMOST LIQUOR
3786866,1637906767,2020-01-01,29.7,KFC G135747
3787028,1648222912,2020-01-01,3521.15,LAZY DOG RESTAURANT 3
3787208,1656516916,2020-01-01,2803.96,LUCKYBRAND.COM
3787215,1656516916,2020-01-01,4800.27,LUCKYS BAR  GRILL
3787255,1733969693,2020-01-01,2459.59,NORDSTROM RACK #0275
3787343,1740577999,2020-01-01,3332.75,OGA'S CANTINA
3787447,1806109901,2020-01-01,5307.29,RAISING CANE'S #31
3787705,1826804369,2020-01-01,3927.14,SAMSCLUB #6662
3787765,1878233574,2020-01-01,3306,SOUTHWES  5262165079714
3788061,1887581237,2020-01-01,742.79,SQ *LICK-A-DEE SPLI
3788240,1920737629,2020-01-01,3583.6,TARGET        00018671
3788935,1936556099,2020-01-01,5207.35,TJ MAXX #814
3789404,2065922562,2020-01-01,1893.48,WAL-MART #2996
3789473,2069367098,2020-01-01,3982.18,WALGREENS #17386
3789529,2076582520,2020-01-01,4106.1,WENDYS 53
3789712,2154237856,2020-01-01,4427.47,BANFIELD 2322
3789983,2215394019,2020-01-01,3824.3,DONORSCHOOSE.ORG
3790022,2227872112,2020-01-01,4989.2,EURO PIZZA
3790033,2229659415,2020-01-01,3610.11,EZ STORAGE WOODWARD
3790089,2229659415,2020-01-01,1423.47,F5AW LLC
3790621,2334975573,2020-01-01,627.63,NOODLES & CO 532
3790721,2362248367,2020-01-01,4835.78,PRETZELROCKS
3790855,2414683519,2020-01-01,2926.99,SNOW.COM/VAIL RESORTS SKI
3790993,2449772215,2020-01-01,4615.27,THE SOUL S* THE    L S
3791051,2475819622,2020-01-01,823.38,WHOLEFDS UST#10626
3791097,2476493112,2020-01-01,1626.97,WINGSTOP 458
3791316,2517334153,2020-01-01,350.91,AMZN Mktp US*MA3QN1S00
3791372,2525054132,2020-01-01,403.6,APPLEBEES 973861994141
3791451,2542879252,2020-01-01,3295.9,BOSCOVS 41
3791535,2558753193,2020-01-01,3127.05,CITY MILW POM METERS
3791682,2565470495,2020-01-01,33.9,COSTA COFFEE
3791998,2573219469,2020-01-01,3290.16,DICK'S SPORTING GOODS616
3792002,2578438999,2020-01-01,1563.83,EBAY O*23-05263-43074
3792122,2590902402,2020-01-01,5179.29,GOOGLE *SERVICES
3792169,2605505334,2020-01-01,114.67,INFINITY S END EAST
3792316,2613528328,2020-01-01,735.63,KOHL'S #1468
3792388,2636264528,2020-01-01,646.44,MILLERS ALE HOUSE 017
3792417,2641306561,2020-01-01,4901.95,NEWSLINK 63
3792456,2646173735,2020-01-01,303.42,PAYPAL *SHUTTERFLY
3792592,2656243592,2020-01-01,4264.3,QT 748        07007487
3792612,2667239506,2020-01-01,2681.54,SCSI
3792898,10001585923,2020-01-01,650.68,"1-800 CONTACTS, INC."
3793059,10004406941,2020-01-01,3265.42,BARK&CO (BARKBOX)
3793244,10004651915,2020-01-01,256.5,BLACKMAN PLUMBING #3509
3793331,10004734459,2020-01-01,3719.73,BP#9738030IN0015-HAQPS
3793461,10004734459,2020-01-01,3583.67,BRMG TOWER WOMENS
3793566,10006259271,2020-01-01,2144.31,ETT*ESSENCEONMAPLEREN
3793568,10008193879,2020-01-01,4844.03,KAY JEWELERS #307
3793585,10008601523,2020-01-01,1423.25,LITTLE CAESARS 1359 00
3793688,10009240905,2020-01-01,1619.7,MARKET BASKET 00000141
3793749,10009783818,2020-01-01,4926.2,NEW JERSEY E-ZPASS
3793835,10011555056,2020-01-01,3546.91,SALTGRASS COLORADO SPR
3794155,10011588394,2020-01-01,735.11,SANGRE DE CRISTO ELECTRI
3794281,10011916201,2020-01-01,1806.03,SIGNAL BOX
3794395,10011926445,2020-01-01,2612.39,SNAP ON TOOLS
3794421,10012095751,2020-01-01,3082.08,SQ *RIDEMAKERZ - 001 -
3794475,10012713615,2020-01-01,5283.05,THE HOME DEPOT #1048
3794648,10014010080,2020-01-01,3591.17,7-ELEVEN 35579
3794651,10015100217,2020-01-01,431.44,AMZN Mktp US*SX0455QM3
3794656,1271756640,2020-01-02,2407.15,2078-CLT MARKETPLACE B
3795272,1411651537,2020-01-02,3128.79,AMZN Digital*LZ9TP4I33
3795431,1429879666,2020-01-02,5572.52,AMZN Mktp US*MO4K76B62
3795432,1462577979,2020-01-02,1298.19,Beachside Bar Cafe
3795805,1469975716,2020-01-02,735.99,BOSCOVS 66
3795940,1483281323,2020-01-02,4290.28,CAREMARK MAIL
3795957,1560126748,2020-01-02,2145.69,EMPIRE PC6131 KONGS KO
3796258,1560126748,2020-01-02,3244.15,ENTERPRISE RENT-A-CAR
3796286,1570099596,2020-01-02,1752.52,"FERGUSON ENT, INC 3020"
3796381,1634896828,2020-01-02,3080.2,JIMMY VS GRILL AND PUB
3796443,1662541213,2020-01-02,376.42,MACYS  PENTAGON CITY
3796602,1714378697,2020-01-02,4390.73,MENCHIES 064  WEST COV
3796662,1743317369,2020-01-02,3000.94,ONESTOP NUTRITION
3796715,1754486566,2020-01-02,1040.03,"PARKWHIZ, INC."
3796817,1824693855,2020-01-02,2124.91,RUE21 #1148 BRANDON
3796818,1940400250,2020-01-02,5119.87,TRADITION
3796966,2065922562,2020-01-02,3451.45,WAL-MART #2518
3796988,2129107705,2020-01-02,5150,Amazon.com*MU1182ZV0
3797006,2130793546,2020-01-02,3063.26,AMAZON.COM*YK6NO7IN3 AMZN
3797081,2153315919,2020-01-02,4669.79,Audible*MK5R251D1
3797254,2170584235,2020-01-02,5392.77,BUFFALO WILD WINGS 0596
3797266,2186218877,2020-01-02,1176.41,CHIPOTLE 2560
3797407,2216062840,2020-01-02,3381.68,DUNKIN #307138 Q35
3797409,2230853448,2020-01-02,1488.87,FAT TUESDAY ROYALE
3797569,2246030957,2020-01-02,2332.77,GOODWILL INDUSTRIES ST
3797692,2312242825,2020-01-02,264.29,LYFT   *RIDE THU 9PM
3797707,2312561791,2020-01-02,1618.68,MACYS   .COM
3797816,2323117492,2020-01-02,718.69,MCKOY'S SMOKEHOUSE & SALO
3797831,2326436595,2020-01-02,3423.9,MERCY BAGGOT STREET CA
3797980,2339855500,2020-01-02,5229.58,OLD CHICAGO AURORA SOUTH
3798150,2360942805,2020-01-02,2385.95,PLAYMAKERS
3798164,2378339694,2020-01-02,4.91,Revelry Brewing
3798229,2397690077,2020-01-02,2284.28,SEPHORA STRONGSVIL
3798328,2397690077,2020-01-02,65.58,Severe Weather Fee Credit
3798390,2423811994,2020-01-02,5433.46,SQ*MONO CAPITAL
3798421,2460494673,2020-01-02,2298.5,UBER * PENDING
3798742,2475618701,2020-01-02,2163.28,WEST HILLS PIZZA COMPANY
3798821,2526365917,2020-01-02,4645.19,APTEKA 254
3798901,2530612544,2020-01-02,1245.27,ATLANTIC UNIFORM COMPANY
3799126,2548663940,2020-01-02,166.02,CAPTAIN DS 36522950273
3799152,2555467300,2020-01-02,1252.13,CHEVRON 0202337
3799279,2613528328,2020-01-02,1628.87,KOHL'S #0395
3799678,2639398185,2020-01-02,1805.7,MT ANTERO TREASURES
3799705,2663934795,2020-01-02,3493.05,SALS PIZZA - WYCLIFF A
3799823,5024773326,2020-01-02,1408.92,THE UPS STORE #2350
3799833,10000751223,2020-01-02,2991.33,VISTAPR*VistaPrint.com
3799896,10001494690,2020-01-02,5645.88,WM SUPERCENTER #5070
3800505,10002171354,2020-01-02,3394.92,Amazon.com*K52MK2U73
3800516,10003113862,2020-01-02,1077.87,AMZN Mktp US*J20CX2663
3800524,10003957929,2020-01-02,846.28,ARAMARK DENVER COLISEU
3800590,10004155900,2020-01-02,3872.63,Audible US*HY7940DP3
3800600,10004675718,2020-01-02,801.34,BLUDLPHN.com*WomansDay
3800625,10005012438,2020-01-02,2117.85,CHATURBILL.COM
3800652,10005201883,2020-01-02,4130.05,CITYMB-PKG-IPS
3800656,10006328225,2020-01-02,313.57,FAMILY DOLLAR #7676
3801005,10011494739,2020-01-02,4403.98,SAFEWAY #1559
3801064,10011980895,2020-01-02,4132.84,SPEEDWAY 08027 809 E.
3801079,10012962014,2020-01-02,1628.78,UNIQLO ECOMMERCE
3801106,10013253155,2020-01-02,2110.28,WALGREENS #11899
3801214,10013519126,2020-01-02,4514.85,WESTJET  883815045744603
3801297,10014010080,2020-01-02,4552.56,7149 Dominos Pizza
3801350,10014147733,2020-01-02,1139.77,AC & T BOONSBORO
3801459,1392288093,2020-01-03,5416.46,AMERICAN AIR0012138662916
3801494,1451657956,2020-01-03,5081.57,APPFEE*AUTUMN GLEN APA
3801650,1460417395,2020-01-03,5093.42,BANANA REPUBLIC ON-LIN
3801982,1472104007,2020-01-03,3043.94,BP#6582357EARPS BP #3
3802171,1479947645,2020-01-03,3159.12,BURGER KING #12130 Q07
3802323,1482267312,2020-01-03,3247.29,CALIFORNIA DREAMING CHAR
3802776,1503808565,2020-01-03,4949.28,CITY-MARKET #0437
3803169,1566191321,2020-01-03,3248.72,FAMOUS FOOTWEAR #3116
3803351,1637906767,2020-01-03,1869.88,KING FISH POKE
3803388,1773822676,2020-01-03,1809.05,PDFW
3803481,1802862040,2020-01-03,904.26,QUALITY PLUS AUTOMOTIVE
3803485,1820084924,2020-01-03,3603.84,RESTAURANTE PALENQUERA
3803741,1822810501,2020-01-03,4005.12,RITE AID STORE - 10440
3803833,1945601750,2020-01-03,5240.76,TST* LA JOSIE
3804418,2097304469,2020-01-03,1719.84,254 ERIE BLVD WEST FAS
3804501,2141103864,2020-01-03,2205.7,AMZN Mktp US*MA6ZH0NC0
3804518,2147857482,2020-01-03,4759.99,AMZN Mktp US*ZH7KI2D73
3804558,2180431849,2020-01-03,3316.73,CHEESECAKE GLENDALE
3804810,2200090054,2020-01-03,647.17,COLDSTONE #1450
3804932,2209726344,2020-01-03,3806.25,CVS/PHARMACY #05874
3804988,2225944194,2020-01-03,4227.94,ELLISVILLE ELKS
3804988,2238940247,2020-01-03,781.46,FOODMAXX #407 TURLOC
3805053,2254543099,2020-01-03,3396.18,GREAT AMER BAGEL D CLT
3805079,2280556859,2020-01-03,2225.15,J ALEXANDER'S 01000025
3805083,2296499789,2020-01-03,4702,KUM & GO #672
3805137,2382832760,2020-01-03,3299.42,SAFEWAY #1644
3805414,2403189585,2020-01-03,556.23,SHELL OIL 54849800054
3805433,2426165406,2020-01-03,1951,STARBUCKS STORE 17748
3805600,2427712172,2020-01-03,3306.22,STUDIO 6
3805897,2436105798,2020-01-03,5025.12,TACO BELL 23837
3806143,2446233994,2020-01-03,4571.89,THE HOME DEPOT #2676
3806421,2463518825,2020-01-03,2053.42,VILAS CINEMA
3806555,2475618701,2020-01-03,1781.15,WENTWORTH PARKING
3806632,2485443926,2020-01-03,1684.37,0322 FIRST WATCH
3806966,2496814092,2020-01-03,5539.95,A.L. PRIME-GROTON
3807128,2499606427,2020-01-03,2789.12,AIREST RETAIL S. R. L.
3807216,2502872883,2020-01-03,3381.24,AMAZON.COM*MH8OW3NQ3 A
3807312,2511435318,2020-01-03,4463.46,AMZN Mktp US*180N54JD3
3807359,2513950645,2020-01-03,1970.76,AMZN MKTP US*8843Z9IV3 AM
3807364,2520838650,2020-01-03,88.94,AMZN Mktp US*MO3JS8Q21
3807792,2524711260,2020-01-03,3485.35,ANGELA'S CAFE
3807795,2526911360,2020-01-03,839.35,ARTISTIC CUSTOM TAILOR
3807809,2536646592,2020-01-03,5292.02,BEST BUY      00015388
3808172,2548663940,2020-01-03,324.12,CARDENAS MARKET #38
3808285,2588774246,2020-01-03,49.88,GARBANZO-HIGHLANDS
3808299,2604879847,2020-01-03,1151.42,HUERTO DEL EDEN SUPERM
3808499,2630059810,2020-01-03,4178.19,MBTA CHARLES MGH
3808582,2639984585,2020-01-03,3836.73,NATL GEN INS*NPS4W
3808720,2644220207,2020-01-03,5547.59,PANDA EXPRESS 1288
3809006,2644220207,2020-01-03,2005.46,PANERA BREAD #600884
3809098,2669945647,2020-01-03,3794.01,SO PT GIFT SHOP
3809099,2681479559,2020-01-03,1456.14,STARBUCKS STORE 00285
3809347,5011859104,2020-01-03,2118.18,SYLVANIA PLATO'S CLOSE
3809396,5014998578,2020-01-03,3779.44,TARGET        00003657
3810052,5025153866,2020-01-03,504.34,TN IVY TECH INDIANA PA
3810057,10001010112,2020-01-03,4175.66,WEIS MARKETS 166
3810084,10002082989,2020-01-03,157.76,Amazon.com*654990ZT3
3810144,10004113310,2020-01-03,2450.03,ASA RAMEN
3810155,10004734459,2020-01-03,4096.76,BRICK OVEN PIZZA - CRE
3810304,10004809555,2020-01-03,2137.07,CAINS CARPENTRY LLC
3810339,10005012438,2020-01-03,2407.56,CHARLEYS STEAKHOUSE-CY
3810478,10005047123,2020-01-03,4162.87,CHICK-FIL-A #01360
3810496,10005774370,2020-01-03,904.23,DD'S DISCOUNTS #5016
3810999,10006030549,2020-01-03,5004.31,DRL*CAROL WRIGHT GIFTS
3811094,10008601523,2020-01-03,3179.17,LOAF N JUG #0092
3811136,10009315504,2020-01-03,3116.85,MCDONALD'S F1556
3811176,10010021443,2020-01-03,2510.82,PABLOS MEXICAN
3811586,10010909212,2020-01-03,5577.59,POPEYES 12880
3811793,10010994176,2020-01-03,11.42,PRETZELROCKS
3811804,10011588394,2020-01-03,718.52,SAMSCLUB #4794
3811883,10012252653,2020-01-03,2382.51,STARBUCKS STORE 11474
3811901,10013528580,2020-01-03,1915.53,"WILSON FARMS, INC. - LEXI"
3811989,10014709827,2020-01-03,5545.29,Amazon.com*ZY7E87V13
3812184,1271756640,2020-01-04,1155.56,#48 THE PEARL
3812389,1383949839,2020-01-04,2385.25,Amazon.com*MK6QK7I11
3812453,1444593527,2020-01-04,3111.35,AMZN Mktp US*S90QC41F3
3812529,1465846176,2020-01-04,3723.77,BLACK FOREST PUB & GRI
3812672,1519817923,2020-01-04,5120.14,CUSTOM RX 877-337-6279
3812700,1564624745,2020-01-04,3236.41,EXXONMOBIL    97498059
3812998,1566191321,2020-01-04,3224.28,FAMOUS LIQUORS
3813044,1629246930,2020-01-04,4706.13,IXTAPA MEXICAN GRILL AND
3813164,1639408929,2020-01-04,3959.52,KOHLS #0168
3813219,1648222912,2020-01-04,912.4,LAZ PARKING 170114
3813276,1712097920,2020-01-04,1995.94,MCDONALD'S M4327 OF NV
3813294,1779768543,2020-01-04,295.1,POPS FOR CHAMPAGNE
3813486,1779768543,2020-01-04,4465.05,POPS TIRE SHOP
3813714,1885170626,2020-01-04,3914.73,SQ *ELYSIUM GARDENS LL
3813737,1901396026,2020-01-04,277.72,STARBUCKS STORE 07812
3813773,1904878467,2020-01-04,3510.07,STARBUCKS STORE 13448
3813828,1919584639,2020-01-04,4858.83,TARGET        00002469
3813995,2045297317,2020-01-04,4121.06,USPS PO 2663180427
3814076,2045297317,2020-01-04,689.47,VAN HEUSEN #516
3814256,2076247077,2020-01-04,5414.16,WENDY'S 9414
